Closed,255782730,17561690440.60,88730
143,166,17
KSE-100,38770.97,211.09
AllShare,25597.56,40.08
KSE-30,22321.16,164.92
KMI-30,67367.02,-152.78
All(Islamic),17936.95,-50.44
